SID,SEASON,NAME,LAT,LON,ISO_TIME
1980199N31284,1980,UNNAMED,30.5,-76.5,1980-07-17 00:00:00
1980199N31284,1980,UNNAMED,30.3,-76.9,1980-07-17 03:00:00
1980199N31284,1980,UNNAMED,30.2,-77.2,1980-07-17 06:00:00
1980199N31284,1980,UNNAMED,30.1,-77.6,1980-07-17 09:00:00
1980199N31284,1980,UNNAMED,30.0,-78.0,1980-07-17 12:00:00
1980199N31284,1980,UNNAMED,29.9,-78.6,1980-07-17 15:00:00
1980199N31284,1980,UNNAMED,29.9,-79.3,1980-07-17 18:00:00
1980199N31284,1980,UNNAMED,29.9,-79.8,1980-07-17 21:00:00
1980199N31284,1980,UNNAMED,29.8,-80.2,1980-07-18 00:00:00
1980199N31284,1980,UNNAMED,29.6,-80.7,1980-07-18 03:00:00
1980199N31284,1980,UNNAMED,29.5,-81.1,1980-07-18 06:00:00
1980199N31284,1980,UNNAMED,29.5,-81.5,1980-07-18 09:00:00
1980199N31284,1980,UNNAMED,29.5,-82.0,1980-07-18 12:00:00
1980199N31284,1980,UNNAMED,29.4,-82.5,1980-07-18 15:00:00
1980199N31284,1980,UNNAMED,29.4,-83.0,1980-07-18 18:00:00
1980199N31284,1980,UNNAMED,29.4,-83.5,1980-07-18 21:00:00
1980199N31284,1980,UNNAMED,29.4,-84.0,1980-07-19 00:00:00
1980199N31284,1980,UNNAMED,29.4,-84.3,1980-07-19 03:00:00
1980199N31284,1980,UNNAMED,29.5,-84.7,1980-07-19 06:00:00
1980199N31284,1980,UNNAMED,29.6,-85.3,1980-07-19 09:00:00
1980199N31284,1980,UNNAMED,29.6,-85.8,1980-07-19 12:00:00
1980199N31284,1980,UNNAMED,29.6,-86.1,1980-07-19 15:00:00
1980199N31284,1980,UNNAMED,29.7,-86.4,1980-07-19 18:00:00
1980199N31284,1980,UNNAMED,29.7,-86.7,1980-07-19 21:00:00
1980199N31284,1980,UNNAMED,29.8,-87.0,1980-07-20 00:00:00
1980199N31284,1980,UNNAMED,29.9,-87.4,1980-07-20 03:00:00
1980199N31284,1980,UNNAMED,29.9,-87.8,1980-07-20 06:00:00
1980199N31284,1980,UNNAMED,29.9,-88.2,1980-07-20 09:00:00
1980199N31284,1980,UNNAMED,30.0,-88.5,1980-07-20 12:00:00
1980199N31284,1980,UNNAMED,30.2,-88.8,1980-07-20 15:00:00
1980199N31284,1980,UNNAMED,30.4,-89.2,1980-07-20 18:00:00
1980199N31284,1980,UNNAMED,30.6,-89.6,1980-07-20 21:00:00
1980199N31284,1980,UNNAMED,30.8,-90.0,1980-07-21 00:00:00
1980200N25270,1980,UNNAMED,25.0,-90.0,1980-07-17 12:00:00
1980200N25270,1980,UNNAMED,25.1,-90.2,1980-07-17 15:00:00
1980200N25270,1980,UNNAMED,25.2,-90.4,1980-07-17 18:00:00
1980200N25270,1980,UNNAMED,25.3,-90.7,1980-07-17 21:00:00
1980200N25270,1980,UNNAMED,25.4,-90.9,1980-07-18 00:00:00
1980200N25270,1980,UNNAMED,25.5,-91.0,1980-07-18 03:00:00
1980200N25270,1980,UNNAMED,25.7,-91.2,1980-07-18 06:00:00
1980200N25270,1980,UNNAMED,25.9,-91.5,1980-07-18 09:00:00
1980200N25270,1980,UNNAMED,26.0,-91.8,1980-07-18 12:00:00
1980200N25270,1980,UNNAMED,26.1,-92.0,1980-07-18 15:00:00
1980200N25270,1980,UNNAMED,26.2,-92.1,1980-07-18 18:00:00
1980200N25270,1980,UNNAMED,26.3,-92.4,1980-07-18 21:00:00
1980200N25270,1980,UNNAMED,26.4,-92.7,1980-07-19 00:00:00
1980200N25270,1980,UNNAMED,26.6,-92.9,1980-07-19 03:00:00
1980200N25270,1980,UNNAMED,26.8,-93.0,1980-07-19 06:00:00
1980200N25270,1980,UNNAMED,26.9,-93.2,1980-07-19 09:00:00
1980200N25270,1980,UNNAMED,27.0,-93.5,1980-07-19 12:00:00
1980200N25270,1980,UNNAMED,27.2,-93.7,1980-07-19 15:00:00
1980200N25270,1980,UNNAMED,27.4,-94.0,1980-07-19 18:00:00
1980200N25270,1980,UNNAMED,27.6,-94.3,1980-07-19 21:00:00
1980200N25270,1980,UNNAMED,27.8,-94.5,1980-07-20 00:00:00
1980200N25270,1980,UNNAMED,27.9,-94.7,1980-07-20 03:00:00
1980200N25270,1980,UNNAMED,28.0,-94.9,1980-07-20 06:00:00
1980200N25270,1980,UNNAMED,28.2,-95.0,1980-07-20 09:00:00
1980200N25270,1980,UNNAMED,28.5,-95.2,1980-07-20 12:00:00
1980200N25270,1980,UNNAMED,28.8,-95.5,1980-07-20 15:00:00
1980200N25270,1980,UNNAMED,29.0,-95.7,1980-07-20 18:00:00
1980200N25270,1980,UNNAMED,29.2,-95.8,1980-07-20 21:00:00
1980200N25270,1980,UNNAMED,29.5,-95.7,1980-07-21 00:00:00
1980200N25270,1980,UNNAMED,29.7,-95.6,1980-07-21 03:00:00
1980200N25270,1980,UNNAMED,30.0,-95.5,1980-07-21 06:00:00
1980200N25270,1980,UNNAMED,30.3,-95.3,1980-07-21 09:00:00
1980200N25270,1980,UNNAMED,30.5,-95.0,1980-07-21 12:00:00
1980204N23287,1980,UNNAMED,23.2,-73.5,1980-07-22 00:00:00
1980204N23287,1980,UNNAMED,23.6,-74.0,1980-07-22 03:00:00
