time,wind_direction_deg
2024-01-01T00:00,328
2024-01-01T01:00,320
2024-01-01T02:00,323
2024-01-01T03:00,332
2024-01-01T04:00,337
2024-01-01T05:00,335
2024-01-01T06:00,332
2024-01-01T07:00,333
2024-01-01T08:00,344
2024-01-01T09:00,357
2024-01-01T10:00,19
2024-01-01T11:00,24
2024-01-01T12:00,36
2024-01-01T13:00,342
2024-01-01T14:00,326
2024-01-01T15:00,325
2024-01-01T16:00,334
2024-01-01T17:00,333
2024-01-01T18:00,335
2024-01-01T19:00,337
2024-01-01T20:00,335
2024-01-01T21:00,338
2024-01-01T22:00,335
2024-01-01T23:00,337
2024-01-02T00:00,348
2024-01-02T01:00,348
2024-01-02T02:00,354
2024-01-02T03:00,360
2024-01-02T04:00,342
2024-01-02T05:00,349
2024-01-02T06:00,104
2024-01-02T07:00,142
2024-01-02T08:00,214
2024-01-02T09:00,316
2024-01-02T10:00,346
2024-01-02T11:00,348
2024-01-02T12:00,347
2024-01-02T13:00,348
2024-01-02T14:00,332
2024-01-02T15:00,342
2024-01-02T16:00,338
2024-01-02T17:00,331
2024-01-02T18:00,331
2024-01-02T19:00,344
2024-01-02T20:00,336
2024-01-02T21:00,333
2024-01-02T22:00,336
2024-01-02T23:00,331
2024-01-03T00:00,337
2024-01-03T01:00,344
2024-01-03T02:00,345
2024-01-03T03:00,358
2024-01-03T04:00,23
2024-01-03T05:00,59
2024-01-03T06:00,77
2024-01-03T07:00,94
2024-01-03T08:00,148
2024-01-03T09:00,210
2024-01-03T10:00,180
2024-01-03T11:00,216
2024-01-03T12:00,243
2024-01-03T13:00,358
2024-01-03T14:00,335
2024-01-03T15:00,350
2024-01-03T16:00,15
2024-01-03T17:00,6
2024-01-03T18:00,353
2024-01-03T19:00,345
2024-01-03T20:00,354
2024-01-03T21:00,352
2024-01-03T22:00,357
2024-01-03T23:00,324
2024-01-04T00:00,334
2024-01-04T01:00,344
2024-01-04T02:00,335
2024-01-04T03:00,328
2024-01-04T04:00,324
2024-01-04T05:00,326
2024-01-04T06:00,320
2024-01-04T07:00,325
2024-01-04T08:00,331
2024-01-04T09:00,341
2024-01-04T10:00,343
2024-01-04T11:00,348
2024-01-04T12:00,354
2024-01-04T13:00,348
2024-01-04T14:00,348
2024-01-04T15:00,359
2024-01-04T16:00,360
2024-01-04T17:00,332
2024-01-04T18:00,329
2024-01-04T19:00,338
2024-01-04T20:00,326
2024-01-04T21:00,332
2024-01-04T22:00,336
2024-01-04T23:00,339
2024-01-05T00:00,332
2024-01-05T01:00,342
2024-01-05T02:00,354
2024-01-05T03:00,45
2024-01-05T04:00,157
2024-01-05T05:00,180
2024-01-05T06:00,176
2024-01-05T07:00,56
2024-01-05T08:00,345
